Timestamp,Source MAC,Target MAC,SSID
2025-05-20 07:20:19,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-20 07:20:15,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:33:13,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:33:08,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:33:02,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:58,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:53,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:48,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:43,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:37,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:32,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:27,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:22,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:17,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:32:12,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:32:06,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:32:01,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:31:56,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:20:18,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:20:14,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:19:43,38:6b:1c:21:62:a6,8e:c1:e5:58:e3:51,Block2room22
2025-05-19 20:19:14,50:2b:73:f5:e7:a8,3e:32:6c:29:1a:48,Unknown
2025-05-19 20:19:03,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:59,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:55,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:52,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:47,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:43,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:39,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:35,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:32,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 20:18:28,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:51:10,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:51:06,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:51:01,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:50:57,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:50:53,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:50:49,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:50:45,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:50:41,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:50:37,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-19 17:50:32,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Tu taru vapar
2025-05-18 14:29:14,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:29:11,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:29:07,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:29:04,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:29:01,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:28:57,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:28:54,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:28:51,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:28:47,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 14:28:44,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:49:21,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:49:16,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:49:12,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:49:07,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:49:03,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:48:59,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:48:55,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:48:50,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:48:46,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:48:42,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:42:14,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:42:10,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:42:05,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:42:02,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:41:58,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:41:54,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:41:48,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:41:44,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:41:39,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:41:35,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:32:33,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:32:29,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:32:25,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:32:21,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:32:17,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:32:12,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:32:08,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:32:04,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:31:59,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-05-18 08:31:55,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:57,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:49,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:45,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:40,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:35,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:31,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:26,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:22,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:17,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:29:12,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:24:25,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:24:05,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:23:45,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:23:25,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:23:05,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:22:44,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:22:24,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:22:04,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
2025-04-29 15:21:44,50:2b:73:e4:42:60,ff:ff:ff:ff:ff:ff,Unknown
